strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
USA/CA-LACPHL-AY15520/2025	2025-10-19	RN.2.1	61.00	25C (XFG)	USA	California	24A	202543	PX514350	Homo sapiens	Los Angeles County Public Health Laboratory	RN.2.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al		-2.65	1.88
USA/MN-MDH-48674/2025	2025-11-24	RN.2.1	62.00	25C (XFG)	USA	Minnesota	24A	202548	PX702228	Homo sapiens	MAYO CLINIC SAINT MARYS CAMPUS	RN.2.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.65	1.88
USA/OSPHL10912/2025	2025-11-24	RN.2.1	61.00	25C (XFG)	USA	Oregon	24A	202548	PX834280	Homo sapiens		RN.2.1	Older	North America	Oregon State Public Health Laboratory, Virology and Immunology	Tsaknaridis et al		-2.65	1.88
USA/MN-MDH-48787/2025	2025-12-15	RN.2.1	61.00	25C (XFG)	USA	Minnesota	24A	202551	PX804017	Homo sapiens	CHILDREN'S HOSPITAL AND CLINIC - MINNEAPOLIS	RN.2.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.65	1.88
IGS-10285-CVDP-1F0EFE0A-4FA0-4104-BD99-06B43C08D1E2	2025-11-04	RN.1	61.00	25C (XFG)	Germany		24A	202545				RN.1	Older	Europe		?		-2.65	1.88
Denmark/DCGC-693288/2025	2025-10-27	RN.1	61.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368731	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	RN.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-2.65	1.88
USA/NMDOH-2025035326/2025	2025-12-06	RN.1	61.00	25C (XFG)	USA	New Mexico	24A	202549	PZ038888	Homo sapiens	New Mexico Department of Health Scientific Laboratory	RN.1	One month ago	North America	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Benoit et al		-2.65	1.88
USA/CO-CDPHE-46312530/2026	2026-02-22	RN.1	61.00	25C (XFG)	USA	Colorado	24A	202608	PZ150889	Homo sapiens		RN.1	1-2 days ago	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.65	1.88
IRL/FBD24052_pass_barcode44_61bf6645_36573cb1/2025	2025-09-25	RN.1	61.00	25C (XFG)	Ireland	Mid-West	24A	202539	PX496744	Homo sapiens		RN.1	Older	Europe	University Hospital Limerick, Microbiology	Dillon et al		-2.65	1.88
IRL/GIRL00074913/2025	2025-10-14	RN.1	61.00	25C (XFG)	Ireland	Dublin	24A	202542	PX580434	Homo sapiens		RN.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-2.65	1.88
OZ336356	2025-09-15	RN.1	61.00	25C (XFG)	United Kingdom	Scotland	24A	202538	OZ336356	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	RN.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-2.65	1.88
USA/CO-CDPHE-45625961/2025	2025-11-10	RN.1	62.00	25C (XFG)	USA	Colorado	24A	202546	PX831952	Homo sapiens	Colorado Department of Public Health and Environment	RN.1	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.65	1.88
USA/CO-CDPHE-44886200/2025	2025-09-19	QS.1	61.00	25C (XFG)	USA	Colorado	24A	202538	PX467960	Homo sapiens	Colorado Department of Public Health and Environment	QS.1	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-2.65	1.88
IRL/FBD24052_pass_barcode83_cd5c9477_46f2189e/2025	2025-09-25	XFG.3.4.3	61.00	25C (XFG)	Ireland	Mid-West	24A	202539	PX632255	Homo sapiens		XFG.3.4	Older	Europe	University Hospital Limerick, Microbiology	Powell et al	1.00	-2.65	1.88
IRL/FBD24052_pass_barcode31_61bf6645_36573cb1/2025	2025-09-20	XFG.3.4.3	62.00	25C (XFG)	Ireland	Mid-West	24A	202538	PX496734	Homo sapiens		XFG.3.4	Older	Europe	University Hospital Limerick, Microbiology	Dillon et al	1.00	-2.65	1.88
IRL/FBD24052_pass_barcode74_cd5c9477_46f2189e/2025	2025-09-21	XFG.3.4.3	59.00	25C (XFG)	Ireland	Mid-West	24A	202539	PX632247	Homo sapiens		XFG.3.4	Older	Europe	University Hospital Limerick, Microbiology	Powell et al	1.00	-2.65	1.88
IRL/FBD24052_pass_barcode71_cd5c9477_46f2189e/2025	2025-09-20	XFG.3.4.3	59.00	25C (XFG)	Ireland	Mid-West	24A	202538	PX632245	Homo sapiens		XFG.3.4	Older	Europe	University Hospital Limerick, Microbiology	Powell et al	1.00	-2.74	1.88
Denmark/DCGC-693220/2025	2025-10-27	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368726	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-693175/2025	2025-10-27	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368737	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-693310/2025	2025-10-20	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202543	OZ368794	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-693177/2025	2025-10-20	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202543	OZ368699	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
OZ392116	2025-12-22	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202552	OZ392116	Homo sapiens		XFG.3.4	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
USA/CA-LACPHL-AY15034/2025	2025-09-27	XGB	61.00	25C (XFG)	USA	California	24A	202539	PX470572	Homo sapiens	Los Angeles County Public Health Laboratory	XGB	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al		-2.65	1.88
USA/CA-CDPH-500150725/2025	2025-09-27	XGB	61.00	25C (XFG)	USA	California	24A	202539	PX494810	Homo sapiens	TPMG Kaiser Regional	XGB	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al		-2.65	1.88
OZ388121	2025-12-08	XFG.3.4.3	62.00	25C (XFG)	United Kingdom	England	24A	202550	OZ388121	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.3.4.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	1.00	0.00	0.00
OZ387114	2025-12-04	XFG.3.4.3	61.00	25C (XFG)	United Kingdom	England	24A	202549	OZ387114	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.3.4.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	1.00	-2.65	1.88
OZ373905	2025-11-23	XFG.3.4.3	61.00	25C (XFG)	United Kingdom	England	24A	202548	OZ373905	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	XFG.3.4.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	1.00	-2.65	1.88
USA/SC-USAFSAM-S24098/2025	2025-10-02	QS.2	61.00	25C (XFG)	USA	South Carolina	24A	202540	PX703457	Homo sapiens	SHAW AFB	QS.2	Older	North America	United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing	Fries et al		-2.65	1.88
USA/MN-MDH-49667/2026	2026-01-07	QS.2	61.00	25C (XFG)	USA	Minnesota	24A	202601	PZ014025	Homo sapiens	HEALTHPARTNERS CENTRAL LAB	QS.2	One month ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.65	1.88
USA/MN-MDH-48899/2025	2025-12-18	QS.2	61.00	25C (XFG)	USA	Minnesota	24A	202551	PX880361	Homo sapiens		QS.2	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.65	1.88
USA/MN-MDH-49808/2026	2026-02-11	QS.2	62.00	25C (XFG)	USA	Minnesota	24A	202606	PZ036350	Homo sapiens	FAIRVIEW RIDGES HOSPITAL	QS.2	One month ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-2.65	1.88
OZ352521	2025-10-10	QS.2	61.00	25C (XFG)	United Kingdom	Wales	24A	202541	OZ352521	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	QS.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-3.38	1.77
OZ404800	2026-01-14	QS.2	61.00	25C (XFG)	United Kingdom	England	24A	202602	OZ404800	Homo sapiens		QS.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-3.38	1.77
OZ375536	2025-11-14	QS.2	61.00	25C (XFG)	United Kingdom	Scotland	24A	202546	OZ375536	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	QS.2	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-3.38	1.77
OZ351657	2025-10-03	XFG.3.4.3	61.00	25C (XFG)	United Kingdom	Wales	24A	202540	OZ351657	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	XFG.3.4.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	1.00	-2.65	1.88
IGS-10285-CVDP-C8BE5515-214B-4932-92B8-BAC2C7DB7FA5	2025-10-27	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202544				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
OZ351643	2025-09-24	XFG.3.4.3	61.00	25C (XFG)	United Kingdom	Scotland	24A	202539	OZ351643	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	XFG.3.4.3	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.00	-2.65	1.88
IGS-10285-CVDP-0642AD15-DAB7-4AE5-920C-BAE9860333F2	2025-11-24	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202548				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
USA/CO-CDPHE-45625949/2025	2025-11-18	XFG.3.4.3	61.00	25C (XFG)	USA	Colorado	24A	202547	PX832121	Homo sapiens		XFG.3.4.3	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	1.00	-2.65	1.88
IGS-10285-CVDP-211C5A16-4E85-49DE-ACBB-B253824F3CD2	2025-10-27	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202544				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
OZ375506	2025-11-18	XFG.3.4.3	62.00	25C (XFG)	United Kingdom	Scotland	24A	202547	OZ375506	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	XFG.3.4.3	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.00	-3.38	1.77
USA/CA-CDPH-500151521/2025	2025-10-15	XFG.3.4.3	61.00	25C (XFG)	USA	California	24A	202542	PX886036	Homo sapiens		XFG.3.4.3	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	1.00	-2.65	1.88
USA/CA-CDPH-6000022940/2025	2025-10-09	XFG.3.4.3	61.00	25C (XFG)	USA	California	24A	202541	PX885804	Homo sapiens		XFG.3.4.3	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	1.00	-2.65	1.88
USA/MA-MASPHL-14728/2025	2025-11-05	XFG.3.4.3	61.00	25C (XFG)	USA	Massachusetts	24A	202545	PX763354	Homo sapiens		XFG.3.4.3	Older	North America	Massachusetts State Public Health Lab, DPH	Gagne et al	1.00	-2.65	1.88
USA/CA-LACPHL-AY16190/2026	2026-02-06	XFG.3.4.3	62.00	25C (XFG)	USA	California	24A	202605	PZ113883	Homo sapiens	Los Angeles County Public Health Laboratory	XFG.3.4.3	One week ago	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	1.00	-2.49	1.89
USA/CA-LACPHL-AY16122/2026	2026-02-01	XFG.3.4.3	62.00	25C (XFG)	USA	California	24A	202605	PZ052129	Homo sapiens	Los Angeles County Public Health Laboratory	XFG.3.4.3	One month ago	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	1.00	-2.49	1.89
Denmark/DCGC-693422/2025	2025-11-24	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202548	OZ377034	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
USA/2026CV0102/2026	2026-02-20	XFG.3.4.3	61.00	25C (XFG)	USA	Arizona	24A	202607	PZ140876	Homo sapiens		XFG.3.4.3	3-7 days ago	North America	Arizona Department of Health Services, Virology/Serology	Estes et al	1.00	-2.65	1.88
Denmark/DCGC-693011/2025	2025-09-22	XFG.3.4.3	62.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352338	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-3.38	1.77
Denmark/DCGC-693134/2025	2025-09-29	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352472	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-692951/2025	2025-09-22	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352318	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-693122/2025	2025-09-29	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352473	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-693061/2025	2025-09-29	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352346	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-693330/2025	2025-11-03	XFG.3.4.3	62.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372639	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.70	1.89
IGS-10285-CVDP-7104E5E1-C618-4B38-B447-8FFFC62CF0A2	2025-10-25	XFG.3.4.3	62.00	25C (XFG)	Germany		24A	202543				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
IGS-10285-CVDP-8CE4AEA2-B37A-4AF2-870D-C1B61795739C	2025-09-30	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202540				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
IGS-10285-CVDP-4BED2065-A0FE-4123-8934-A2442B68B552	2025-11-02	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202545				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
Denmark/DCGC-692947/2025	2025-09-22	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352329	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
Denmark/DCGC-692908/2025	2025-09-15	XFG.3.4.3	61.00	25C (XFG)	Denmark	Denmark	24A	202538	OZ352262	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.00	-2.65	1.88
OZ351613	2025-10-05	XFG.3.4.3	61.00	25C (XFG)	United Kingdom	Wales	24A	202541	OZ351613	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	XFG.3.4.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	1.00	-2.65	1.88
USA/MD-MDH-12123/2025	2025-09-25	XFG.3.4.3	61.00	25C (XFG)	USA	Maryland	24A	202539	PX497626	Homo sapiens		XFG.3.4.3	Older	North America	Maryland Department of Health, CSL	Stegman et al	1.00	-2.65	1.88
USA/MD-MDH-12328/2025	2025-11-13	XFG.3.4.3	61.00	25C (XFG)	USA	Maryland	24A	202546	PX655570	Homo sapiens		XFG.3.4.3	Older	North America	Maryland Department of Health, DVI	Stegman et al	1.00	-0.12	0.74
IGS-10285-CVDP-3897BBAD-830F-4EFE-BAC8-2527D5CA13F0	2025-12-11	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202550				XFG.3.4.3	Older	Europe		?	1.00	-2.65	1.88
IGS-10285-CVDP-251E2130-650B-4B5C-AA15-0E67126F3A73	2025-11-04	XFG.3.4.3	61.00	25C (XFG)	Germany		24A	202545				XFG.3.4	Older	Europe		?	1.00	-2.65	1.88
USA/GKISBBBI22313/2025	2025-10-01	XFG.3.4.1	62.00	25C (XFG)	USA	Washington	24A	202540	PX455234	Homo sapiens	Ginkgo Biosecurity	XFG.3.4.1	Older	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al	1.02	-2.65	1.88
IRL/FBD24052_pass_barcode35_61bf6645_36573cb1/2025	2025-09-21	QF.6	62.00	25C (XFG)	Ireland	Mid-West	24A	202539	PX496737	Homo sapiens		QF.6	Older	Europe	University Hospital Limerick, Microbiology	Dillon et al		-2.65	1.88
USA/GKISBBBH08632/2025	2025-09-18	XFG.3.4.1	62.00	25C (XFG)	USA	Washington	24A	202538	PX425304	Homo sapiens	Ginkgo Biosecurity	XFG.3.4.1	Older	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al	1.02	-2.65	1.88
USA/MA-MASPHL-14943/2025	2025-12-23	XFG.3.4.1	62.00	25C (XFG)	USA	Massachusetts	24A	202552	PX993439	Homo sapiens		XFG.3.4.1	Older	North America	Massachusetts State Public Health Lab, DPH	Gagne et al	1.02	-2.65	1.88
USA/CA-LACPHL-AY14854/2025	2025-09-17	XFG.3.4.1	62.00	25C (XFG)	USA	California	24A	202538	PX461901	Homo sapiens	Los Angeles County Public Health Laboratory	XFG.3.4.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	1.02	-2.65	1.88
Denmark/DCGC-693258/2025	2025-10-13	XFG.3.4.1	62.00	25C (XFG)	Denmark	Denmark	24A	202542	OZ368707	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	XFG.3.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.02	-3.38	1.77
USA/MN-MDH-48737/2025	2025-12-10	XFG.3.4.1	62.00	25C (XFG)	USA	Minnesota	24A	202550	PX741324	Homo sapiens	CHILDREN'S HOSPITAL AND CLINIC - MINNEAPOLIS	XFG.3.4.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.02	-2.65	1.88
USA/MN-MDH-48888/2025	2025-12-24	XFG.3.4.1	62.00	25C (XFG)	USA	Minnesota	24A	202552	PX880350	Homo sapiens		XFG.3.4.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.02	-2.65	1.88
USA/MN-MDH-48887/2025	2025-12-26	XFG.3.4.1	62.00	25C (XFG)	USA	Minnesota	24A	202552	PX880349	Homo sapiens		XFG.3.4.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.02	-2.65	1.88
USA/MN-MDH-49268/2025	2025-12-23	XFG.3.4.1	62.00	25C (XFG)	USA	Minnesota	24A	202552	PX919864	Homo sapiens		XFG.3.4.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.02	-2.65	1.88
USA/MN-MDH-49864/2026	2026-02-10	XFG.3.4.1	62.00	25C (XFG)	USA	Minnesota	24A	202606	PZ095291	Homo sapiens	WINONA HEALTH HOSPITAL	XFG.3.4.1	One week ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	1.02	-2.65	1.88
USA/IL-RIPHL_16109_G/2026	2026-01-26	XFG.3.4.1	62.00	25C (XFG)	USA	Illinois	24A	202604	PZ008226	Homo sapiens		XFG.3.4.1	One month ago	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.02	-2.65	1.88
IGS-10285-CVDP-DBC4183C-AF8D-400D-A58F-F5D44F0FD0AF	2026-01-28	XFG.3.4.1	63.00	25C (XFG)	Germany		24A	202604				XFG.3.4.1	One month ago	Europe		?	1.02	-2.65	1.88
IGS-10285-CVDP-13463B04-2818-4993-9FED-88B881143849	2026-01-21	XFG.3.4.1	63.00	25C (XFG)	Germany		24A	202603				XFG.3.4.1	Older	Europe		?	1.02	-2.65	1.88
BRA/ITpS_2Ip_001H9_001/2026	2026-01-16	QF.1	63.00	25C (XFG)	Brazil	São Paulo	24A	202602	PZ044411	Homo sapiens		QF.1	One month ago	South America	Instituto Todos pela Saude, ITpS	Silva et al		-2.65	1.88
OZ374073	2025-11-12	QF.1	63.00	25C (XFG)	United Kingdom	England	24A	202546	OZ374073	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	QF.1	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-2.65	1.88
USA/GKISBBBI37308/2025	2025-11-12	QF.1	63.00	25C (XFG)	USA	Virginia	24A	202546	PX597028	Homo sapiens	Ginkgo Biosecurity	QF.1	Older	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al		-2.65	1.88
Denmark/DCGC-693082/2025	2025-09-29	QF.1.1	63.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352272	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	QF.1.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-2.65	1.88
IGS-10285-CVDP-204A0508-33F8-4C15-9C74-E4A9990CB518	2025-09-30	QF.1.1	63.00	25C (XFG)	Germany		24A	202540				QF.1.1	Older	Europe		?		-2.65	1.88
Denmark/DCGC-693186/2025	2025-10-20	QF.1.1	63.00	25C (XFG)	Denmark	Denmark	24A	202543	OZ368691	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	QF.1.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-2.65	1.88
IGS-10285-CVDP-362030BF-D3B6-40AA-9C8F-9E2BEFE93846	2025-11-10	QF.1.1	63.00	25C (XFG)	Germany		24A	202546				QF.1.1	Older	Europe		?		-2.65	1.88
USA/UT-UPHL-251017144652/2025	2025-10-08	QF.1.1.1	63.00	25C (XFG)	USA	Utah	24A	202541	PX931173	Homo sapiens	Utah Public Health Laboratory	QF.1.1.1	Older	North America	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Gupta et al		-2.65	1.88
OZ351452	2025-10-06	QF.1.1.1	63.00	25C (XFG)	United Kingdom	Scotland	24A	202541	OZ351452	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	QF.1.1.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-3.38	1.77
OZ373392	2025-11-07	QF.1.1.1	63.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ373392	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	QF.1.1.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-2.65	1.88
OZ373453	2025-11-08	QF.1.1.1	63.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ373453	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	QF.1.1.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-3.38	1.77
