strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
IRL/FBD24052_pass_barcode70_cd5c9477_46f2189e/2025	2025-09-20	XFG.3	59.00	25C (XFG)	Ireland	Mid-West	24A	202538	PX632244	Homo sapiens	XFG.3	Older	Europe	University Hospital Limerick, Microbiology	Powell et al		0.99	-2.65	1.88
IRL/GIRL00072143/2025	2025-10-01	XFG.3	61.00	25C (XFG)	Ireland	Kerry	24A	202540	PX580403	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
OZ391790	2025-12-16	XFG.3	61.00	25C (XFG)	United Kingdom	England	24A	202551	OZ391790	Homo sapiens	XFG.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		0.99	-2.65	1.88
OZ375511	2025-11-14	XFG.3	61.00	25C (XFG)	United Kingdom	Scotland	24A	202546	OZ375511	Homo sapiens	XFG.3	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	0.99	-2.65	1.88
IGS-10285-CVDP-470845C1-AFF4-47CD-B894-5634F8B0928F	2025-12-03	XFG.3	62.00	25C (XFG)	Germany		24A	202549			XFG.3	Older	Europe		?		0.99	-2.65	1.88
OZ409691	2026-01-10	XFG.3	63.00	25C (XFG)	United Kingdom	Scotland	24A	202601	OZ409691	Homo sapiens	XFG.3	One month ago	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	0.99	-3.38	1.77
Denmark/DCGC-693070/2025	2025-09-29	XFG.3	62.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352455	Homo sapiens	XFG.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
IRL/GIRL00079200/2025	2025-10-30	XFG.3	61.00	25C (XFG)	Ireland	Cork	24A	202544	PX634587	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
USA/UT-UPHL-251114579239/2025	2025-11-01	XFG.3	61.00	25C (XFG)	USA	Utah	24A	202544	PX931105	Homo sapiens	XFG.3	Older	North America	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Gupta et al	Utah Public Health Laboratory	0.99	-2.65	1.88
OZ367645	2025-10-28	XFG.3	61.00	25C (XFG)	United Kingdom	Wales	24A	202544	OZ367645	Homo sapiens	XFG.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	0.99	-2.65	1.88
OZ362777	2025-10-18	XFG.3	61.00	25C (XFG)	United Kingdom	Wales	24A	202542	OZ362777	Homo sapiens	XFG.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	0.99	-2.65	1.88
IGS-10285-CVDP-83850883-9051-43A1-843A-2EAE16F77D9C	2025-09-09	XFG.3.24	61.00	25C (XFG)	Germany		24A	202537			XFG.3.24	Older	Europe		?			-2.65	1.88
Denmark/DCGC-693051/2025	2025-09-29	XFG.3.24	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352314	Homo sapiens	XFG.3.24	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ367379	2025-10-14	XFG.3.24	61.00	25C (XFG)	United Kingdom	Scotland	24A	202542	OZ367379	Homo sapiens	XFG.3.24	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-3.38	1.77
IGS-10285-CVDP-54C13514-F001-4962-BF0D-684C4168FF14	2025-10-30	XFG.3.24	61.00	25C (XFG)	Germany		24A	202544			XFG.3.24	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-8F0B06A1-57EC-4513-BA39-975278139319	2025-11-06	XFG.3.24	61.00	25C (XFG)	Germany		24A	202545			XFG.3.24	Older	Europe		?			-2.65	1.88
Denmark/DCGC-693081/2025	2025-10-06	XFG.3	61.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352467	Homo sapiens	XFG.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
OZ408572	2025-10-08	XFG.3	61.00	25C (XFG)	Slovakia	Slovakia	24A	202541	OZ408572	Homo sapiens	XFG.3	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	Public Health Authority of the Slovak Republic	0.99	-2.65	1.88
USA/CT-DPH-1345210001/2026	2026-01-10	XFG.3	61.00	25C (XFG)	USA	Connecticut	24A	202601	PX952599	Homo sapiens	XFG.3	One month ago	North America	CT State Public Health Laboratory Submission Group, Katherine A. Kelley State Public Health Laboratory	Incekara et al	Connecticut State Public Health Laboratory	0.99	-2.27	1.33
Denmark/DCGC-693475/2025	2025-11-24	XFG.3.15	61.00	25C (XFG)	Denmark	Denmark	24A	202548	OZ376945	Homo sapiens	XFG.3.15	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.01	-2.65	1.88
IRL/GIRL00073724/2025	2025-10-08	XFG.3	61.00	25C (XFG)	Ireland	Tipperary	24A	202541	PX580429	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
IRL/GIRL00072508/2025	2025-10-06	XFG.3	61.00	25C (XFG)	Ireland	Tipperary	24A	202541	PX580410	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
IRL/GIRL00071826/2025	2025-10-01	XFG.3	61.00	25C (XFG)	Ireland	Tipperary	24A	202540	PX580400	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
OZ335528	2025-09-18	XFG.3	61.00	25C (XFG)	United Kingdom	England	24A	202538	OZ335528	Homo sapiens	XFG.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	0.99	0.00	0.00
IRL/GIRL00072876/2025	2025-10-03	XFG.3	61.00	25C (XFG)	Ireland	Limerick	24A	202540	PX580416	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
OZ345796	2025-09-21	XFG.3	61.00	25C (XFG)	United Kingdom	England	24A	202539	OZ345796	Homo sapiens	XFG.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	0.99	-3.38	1.77
IGS-10285-CVDP-D642AFAE-A4EB-4D20-82C6-105B846E9E08	2025-10-21	XFG.3	61.00	25C (XFG)	Germany		24A	202543			XFG.3	Older	Europe		?		0.99	-2.65	1.88
USA/CA-CDPH-500149647/2025	2025-09-01	XFG.3	61.00	25C (XFG)	USA	California	24A	202536	PX885292	Homo sapiens	XFG.3	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al		0.99	-3.38	1.77
IGS-10285-CVDP-2013EC7A-9FEF-45DB-884D-3898AE31CB59	2025-11-10	XFG.3.18.1	61.00	25C (XFG)	Germany		24A	202546			XFG.3.18.1	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-0178170C-DA00-476C-8693-CEAFD6CB3244	2025-11-04	XFG.3.18.1	61.00	25C (XFG)	Germany		24A	202545			XFG.3.18.1	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-15A02547-E9F1-4D98-B021-C3490B1626A2	2025-11-04	XFG.3.18.1	61.00	25C (XFG)	Germany		24A	202545			XFG.3.18.1	Older	Europe		?			-2.65	1.88
BRA/ITpS_hmJ_001H3_001/2026	2026-01-26	XFG.3.18.1	61.00	25C (XFG)	Brazil	São Paulo	24A	202604	PZ044405	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
BRA/ITpS_8FE_001HB_001/2026	2026-01-28	XFG.3.18.1	61.00	25C (XFG)	Brazil	São Paulo	24A	202604	PZ044413	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
BRA/ITpS_WbO_001Gi_001/2026	2026-01-24	XFG.3.18.1	61.00	25C (XFG)	Brazil	São Paulo	24A	202603	PZ044384	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
USA/CA-LACPHL-AY14725/2025	2025-09-15	XFG.3.15	61.00	25C (XFG)	USA	California	24A	202538	PX453567	Homo sapiens	XFG.3.15	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	Los Angeles County Public Health Laboratory	1.01	-2.65	1.88
USA/MD-MDH-12139/2025	2025-10-01	XFG.3.15	61.00	25C (XFG)	USA	Maryland	24A	202540	PX497638	Homo sapiens	XFG.3.15	Older	North America	Maryland Department of Health, CSL	Stegman et al		1.01	-2.65	1.88
OZ348674	2025-10-08	XFG.3.15	61.00	25C (XFG)	United Kingdom	England	24A	202541	OZ348674	Homo sapiens	XFG.3.15	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	1.01	-3.38	1.77
OZ361203	2025-10-18	XFG.3.15	61.00	25C (XFG)	United Kingdom	Wales	24A	202542	OZ361203	Homo sapiens	XFG.3.15	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.01	-2.65	1.88
OZ362676	2025-10-21	XFG.3.15	60.00	25C (XFG)	United Kingdom	Wales	24A	202543	OZ362676	Homo sapiens	XFG.3.15	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.01	0.00	0.00
USA/CA-CDPH-6000023758/2026	2026-01-04	XFG.3.15	61.00	25C (XFG)	USA	California	24A	202601	PZ069428	Homo sapiens		1-2 days ago	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Young et al		1.01	-2.65	1.88
BRA/ITpS_wKe_001Hf_001/2026	2026-01-15	XFG.3.15	61.00	25C (XFG)	Brazil	São Paulo	24A	202602	PZ044443	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al		1.01	-2.65	1.88
BRA/ITpS_jTC_001FQ_001/2025	2025-11-27	XFG.3.14	61.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929623	Homo sapiens	XFG.3.14	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-3.38	1.77
BRA/ITpS_UnG_001Es_001/2025	2025-11-12	XFG.3.14	61.00	25C (XFG)	Brazil	São Paulo	24A	202546	PX929589	Homo sapiens	XFG.3.14	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-2.65	1.88
BRA/ITpS_oJe_001Hk_001/2026	2026-01-21	XFG.3.14	59.00	25C (XFG)	Brazil	São Paulo	24A	202603	PZ044448	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-3.38	1.77
Denmark/DCGC-692832/2025	2025-09-15	XFG.3.27.1	61.00	25C (XFG)	Denmark	Denmark	24A	202538	OZ345997	Homo sapiens	XFG.3.27.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ336614	2025-09-15	XFG.3	62.00	25C (XFG)	United Kingdom	Scotland	24A	202538	OZ336614	Homo sapiens	XFG.3	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	0.99	-3.52	1.78
USA/CA-LACPHL-AY15243/2025	2025-10-03	XFG.3	61.00	25C (XFG)	USA	California	24A	202540	PX487215	Homo sapiens	XFG.3	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	Los Angeles County Public Health Laboratory	0.99	-2.65	1.88
IGS-10285-CVDP-EF8989D4-F2E5-4579-B5A5-C68D4382CCB9	2025-09-26	XFG.3	61.00	25C (XFG)	Germany		24A	202539			XFG.3	Older	Europe		?		0.99	-2.65	1.88
USA/CT-DPH-1328145001/2025	2025-10-05	XFG.3	62.00	25C (XFG)	USA	Connecticut	24A	202541	PX497588	Homo sapiens	XFG.3	Older	North America	CT State Public Health Laboratory Submission Group, Katherine A. Kelley State Public Health Laboratory	Incekara et al	Connecticut State Public Health Laboratory	0.99	-2.65	1.88
IRL/GIRL00075880/2025	2025-10-17	XFG.3	61.00	25C (XFG)	Ireland	Dublin	24A	202542	PX580444	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
IGS-10285-CVDP-48FC284D-586A-41FA-8A43-13F626292E07	2025-10-14	XFG.3.12	62.00	25C (XFG)	Germany		24A	202542			XFG.3.12	Older	Europe		?			-2.65	1.88
OZ365035	2025-10-08	XFG.3	61.00	25C (XFG)	United Kingdom	Scotland	24A	202541	OZ365035	Homo sapiens	XFG.3	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	0.99	-2.65	1.88
OZ336851	2025-09-21	XFG.3	61.00	25C (XFG)	United Kingdom	England	24A	202539	OZ336851	Homo sapiens	XFG.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	0.99	-3.38	1.77
Denmark/DCGC-693233/2025	2025-10-20	XFG.3	61.00	25C (XFG)	Denmark	Denmark	24A	202543	OZ368695	Homo sapiens	XFG.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-3.38	1.77
Denmark/DCGC-693042/2025	2025-09-29	XFG.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352256	Homo sapiens	XFG.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-3.38	1.77
Denmark/DCGC-693129/2025	2025-09-29	XFG.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352378	Homo sapiens	XFG.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
OZ375228	2025-10-16	XFG.3	61.00	25C (XFG)	Slovakia	Slovakia	24A	202542	OZ375228	Homo sapiens	XFG.3	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	Public Health Authority of the Slovak Republic	0.99	-2.65	1.88
USA/MD-MDH-12116/2025	2025-09-21	XFG.3	61.00	25C (XFG)	USA	Maryland	24A	202539	PX497621	Homo sapiens	XFG.3	Older	North America	Maryland Department of Health, CSL	Stegman et al		0.99	-3.46	1.32
USA/CA-CDPH-6000023655/2025	2025-10-20	XFG.3	61.00	25C (XFG)	USA	California	24A	202543	PX888003	Homo sapiens	XFG.3	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al		0.99	-2.65	1.88
USA/MA-MASPHL-15017/2025	2025-11-24	XFG.3	61.00	25C (XFG)	USA	Massachusetts	24A	202548	PX993476	Homo sapiens	XFG.3	One month ago	North America	Massachusetts State Public Health Lab, DPH	Gagne et al		0.99	-2.65	1.88
IGS-10285-CVDP-8E4B0BCD-A25A-496F-801D-F25CED780EA2	2025-10-10	XFG.3	61.00	25C (XFG)	Germany		24A	202541			XFG.3	Older	Europe		?		0.99	-2.65	1.88
IRL/GIRL00075079/2025	2025-10-14	XFG.3	62.00	25C (XFG)	Ireland	Cork	24A	202542	PX580435	Homo sapiens	XFG.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
USA/CA-LACPHL-AY15910/2025	2025-12-10	XFG.3	61.00	25C (XFG)	USA	California	24A	202550	PX849588	Homo sapiens	XFG.3	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al		0.99	-2.65	1.88
OZ404247	2025-12-19	XFG.3	61.00	25C (XFG)	United Kingdom	Scotland	24A	202551	OZ404247	Homo sapiens	XFG.3	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	0.99	-2.53	1.86
IGS-10285-CVDP-3132193C-55FB-4016-B4FA-732E19E11457	2026-02-04	XFG.3	61.00	25C (XFG)	Germany		24A	202605			XFG.3	3-7 days ago	Europe		?		0.99	-2.65	1.88
USA/CA-CDPH-500150042/2025	2025-09-02	XFG.3.3	62.00	25C (XFG)	USA	California	24A	202536	PX493921	Homo sapiens	XFG.3.3.2	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	TPMG Kaiser Regional		-2.65	1.88
USA/CA-LACPHL-AY15841/2025	2025-11-17	XFG.3.3	62.00	25C (XFG)	USA	California	24A	202547	PX735508	Homo sapiens	XFG.3.3.2	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	Los Angeles County Public Health Laboratory		-2.65	1.88
USA/CA-LACPHL-AY15528/2025	2025-09-14	XFG.3.7.1	62.00	25C (XFG)	USA	California	24A	202538	PX514358	Homo sapiens	XFG.3.7.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	Los Angeles County Public Health Laboratory		-2.65	1.88
USA/CA-CDPH-500150817/2025	2025-09-15	XFG.3.7.1	63.00	25C (XFG)	USA	California	24A	202538	PX885507	Homo sapiens	XFG.3.7.1	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al			-2.65	1.88
Japan/BRL25-0328/2025	2025-09-10	XFG.3.7.1	62.00	25C (XFG)	Japan	Tokyo	24A	202537	LC911009	Homo sapiens	XFG.3.7.1	Older	Asia	Department of Academic-Industrial Partnerships Promotion, Center for Clinical Sciences; 1-21-1, Toyama, Shinjuku-ku, Tokyo 162-8655	Takeuchi et al			-2.65	1.88
USA/MN-MDH-49373/2026	2026-01-07	XFG.3.7.1	62.00	25C (XFG)	USA	Minnesota	24A	202601	PX955385	Homo sapiens	XFG.3.7.1	One month ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	FAIRVIEW SOUTHDALE HOSPITAL		-2.65	1.88
USA/MN-MDH-49660/2026	2026-01-24	XFG.3.7.1	62.00	25C (XFG)	USA	Minnesota	24A	202603	PZ014018	Homo sapiens		One week ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	SANFORD BEMIDJI MEDICAL CENTER		-2.65	1.88
USA/CA-LACPHL-AY15825/2025	2025-11-11	XFG.3.7.1	62.00	25C (XFG)	USA	California	24A	202546	PX735492	Homo sapiens	XFG.3.7.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	Los Angeles County Public Health Laboratory		-2.65	1.88
USA/CA-LACPHL-AY15936/2025	2025-12-27	XFG.3.7.1	62.00	25C (XFG)	USA	California	24A	202552	PX861315	Homo sapiens	XFG.3.7.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Garrigues et al			-2.65	1.88
USA/CA-LACPHL-AY15965/2026	2026-01-02	XFG.3.7.1	62.00	25C (XFG)	USA	California	24A	202553	PX904561	Homo sapiens	XFG.3.7.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Garrigues et al			-2.65	1.88
IGS-10285-CVDP-87569E89-0ADE-43AF-843F-8FB299B41DE6	2026-01-14	XFG.3.7.1	62.00	25C (XFG)	Germany		24A	202602			XFG.3.7.1	One month ago	Europe		?			-2.65	1.88
USA/CA-LACPHL-AY15901/2025	2025-12-08	XFG.3.7.1	62.00	25C (XFG)	USA	California	24A	202550	PX849579	Homo sapiens	XFG.3.7.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al			-2.65	1.88
USA/CA-LACPHL-AY15994/2025	2025-10-28	XFG.3.7.1	63.00	25C (XFG)	USA	California	24A	202544	PX922785	Homo sapiens	XFG.3.7.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Garrigues et al			-3.37	1.96
USA/MN-MDH-48505/2025	2025-11-06	XFG.3.3.1	62.00	25C (XFG)	USA	Minnesota	24A	202545	PX608431	Homo sapiens	XFG.3.3.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	GLACIAL RIDGE - GLENWOOD MEDICAL CENTER		-2.65	1.88
IRL/GIRL00073363/2025	2025-10-07	XFG.3.3.1	62.00	25C (XFG)	Ireland	Cork	24A	202541	PX580427	Homo sapiens	XFG.3.3.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al			-2.65	1.88
IRL/GIRL00070292/2025	2025-09-23	XFG.3.3.1	62.00	25C (XFG)	Ireland	Dublin	24A	202539	PX580385	Homo sapiens	XFG.3.3.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al			-2.65	1.88
IGS-10285-CVDP-85B8BDBB-9B1F-448D-B4A2-5CF2A972EC03	2025-09-10	XFG.3.3.1	62.00	25C (XFG)	Germany		24A	202537			XFG.3.3.1	Older	Europe		?			-2.65	1.88
Denmark/DCGC-693352/2025	2025-11-03	XFG.3.3.1	62.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372667	Homo sapiens	XFG.3.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
Denmark/DCGC-693371/2025	2025-11-03	XFG.3.3.1	62.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372676	Homo sapiens	XFG.3.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ345207	2025-08-08	XFV	61.00	25C (XFG)	Brazil	South America / Brazil / Distrito Federal / Brasilia	24A	202532	OZ345207	Homo sapiens	XFV	Older	South America	ITpS, Av. Paulista, 1938 - Consolacao, Sao Paulo - SP, 01310-200	Silva et al	Grupo Sabin - SAAN Quadra 03, Lote 165, Brasilia/DF, CEP 70632-358		0.00	0.00
USA/IL-RIPHL_15861_G/2025	2025-11-07	XFV	62.00	25C (XFG)	USA	Illinois	24A	202545	PX608234	Homo sapiens	XFV	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al			-3.38	1.77
BRA/ITpS_hT5_001G3_001/2025	2025-11-23	XFV	63.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929662	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-2.65	1.88
BRA/ITpS_d6p_001FA_001/2025	2025-11-10	XFV	62.00	25C (XFG)	Brazil	São Paulo	24A	202546	PX929607	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-2.65	1.88
USA/VT-CDC-9639208-001/2025	2025-12-04	XFV	62.00	25C (XFG)	USA	Vermont	24A	202549	PX987270	Homo sapiens	XFV	One month ago	North America	Centers for Disease Control and Prevention, Coronaviruses and Other Respiratory Viruses Division	Kelleher et al	VT Dept. of Health Laboratory		-2.65	1.88
USA/CA-CDPH-6000023173/2025	2025-09-21	XFV	62.00	25C (XFG)	USA	California	24A	202539	PX885989	Homo sapiens	XFV	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al			-3.38	1.77
BRA/ITpS_I0h_001Gv_001/2026	2026-01-26	XFV	63.00	25C (XFG)	Brazil	São Paulo	24A	202604	PZ044397	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
BRA/ITpS_rUb_001HC_001/2026	2026-01-29	XFV	62.00	25C (XFG)	Brazil	São Paulo	24A	202604	PZ044414	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
Denmark/DCGC-693405/2025	2025-11-24	XFV	62.00	25C (XFG)	Denmark	Denmark	24A	202548	OZ376973	Homo sapiens	XFV	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
Denmark/DCGC-693160/2025	2025-10-27	XFV	62.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368786	Homo sapiens	XFV	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
